Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Sonora,Tuolumne,,,CA,1000,37.98,-120.37
Sugar Pine,Tuolumne,,,CA,12,38.06,-120.20
Hueneme,Ventura,Santa Barbara,,CA,12,34.16,-119.18
Ventura,Ventura,Santa Barbara,,CA,460,34.28,-119.29
Black's Station,Yolo,,,CA,57,38.80,-121.88
Buckeye,Yolo,,,CA,75,38.59,-121.89
Capay,Yolo,,,CA,20,38.71,-122.05
Davisville,Yolo,Solano,,CA,310,38.54,-121.74
Dunnigan,Yolo,,,CA,10,38.89,-121.97
Grafton,Yolo,,,CA,170,38.80,-121.72
Madison,Yolo,,,CA,49,38.68,-121.97
Merritt,Yolo,,,CA,12,38.61,-121.76
Woodland,Yolo,,,CA,630,38.68,-121.77
Yolo,Yolo,,,CA,130,38.58,-121.53
Brown's Valley,Yuba,,,CA,160,39.24,-121.41
Brownsville,Yuba,,,CA,20,39.47,-121.27
Bullard's Bar,Yuba,,,CA,37,39.42,-121.14
Camptonville,Yuba,,,CA,240,39.45,-121.05
Greenville,Yuba,,,CA,12,39.44,-121.18
Hansonville,Butte,Yuba,,CA,40,39.44,-121.33
Marysville,Yuba,,,CA,3200,39.15,-121.59
Oregon House,Yuba,,,CA,52,39.34,-121.27
Smartville,Yuba,,,CA,300,39.21,-121.30
Strawberry Valley,Yuba,,,CA,55,39.56,-121.11
Timbuctoo,Yuba,,,CA,63,39.22,-121.32
Wheatland,Yuba,,,CA,30,39.01,-121.42
Arvada,Jefferson,,,CO,12,39.80,-105.09
Badito,Huerfano,,,CO,32,37.73,-105.01
Bald Mountain,Gilpin,,,CO,730,39.80,-105.55
Bassetts Mills,El Paso,,,CO,26,39.04,-104.74
Bear Canyon,Douglas,,,CO,15,39.54,-104.98
Beaver Creek,Pueblo,,,CO,16,38.42,-104.95
Bents Fort,Bent,,,CO,40,38.04,-103.43
Big Thompson,Larimer,,,CO,58,40.42,-105.19
Bijou Basin,Elbert,,,CO,9,39.16,-104.42
Black Hawk,Gilpin,,,CO,1600,39.80,-105.49
Booneville,Pueblo,,,CO,150,38.25,-104.26
Boulder,Boulder,,,CO,220,40.01,-105.27
Breckenridge,Summit,,,CO,110,39.48,-106.04
Brownsville,Clear Creek,,,CO,12,39.70,-105.73
Buckskin,Park,,,CO,50,39.29,-106.08
Burlington,Boulder,,,CO,390,40.15,-105.11
Butte Valley,Huerfano,,,CO,12,37.67,-104.96
Cacharas,Huerfano,,,CO,12,37.38,-105.10
Canon City,Fremont,,,CO,160,38.44,-105.24
Caribou,Boulder,,,CO,12,39.98,-105.58
Carnero,Saguache,,,CO,12,37.88,-106.14
Castle Rock,Douglas,,,CO,12,39.36,-104.86
Central City,Gilpin,,,CO,4000,39.80,-105.51
Centreville,Chaffee,,,CO,12,38.68,-106.09
Cherry Creek,Arapahoe,,,CO,12,39.63,-104.88
Coal Creek,Boulder,,,CO,8,39.98,-105.16
Colfax,Custer,,,CO,12,,
Colorado City,El Paso,,,CO,200,38.72,-105.14
Conejos,Conejos,,,CO,59,37.09,-106.02
Costilla,Costilla,,,CO,32,36.98,-105.53
Creswell,Jefferson,,,CO,12,39.69,-105.37
Currant Creek,Fremont,,,CO,12,38.59,-105.41
Deer Valley,Park,,,CO,12,39.45,-105.42
Delaware City,Summit,,,CO,22,39.42,-106.20
Denver,Denver,,,CO,4000,39.75,-104.99
Edgerton,El Paso,,,CO,12,38.94,-104.81
El Paso,El Paso,,,CO,12,38.83,-104.82
Empire City,Clear Creek,,,CO,55,39.76,-105.68
Erie,Weld,,,CO,12,40.05,-105.05
Evans,Weld,,,CO,130,40.38,-104.70
Fairplay,Park,,,CO,540,39.22,-106.00
Flemings Ranch,Weld,,,CO,8,,
Fort Collins,Larimer,,,CO,12,40.53,-105.07
Fort Garland,Costilla,,,CO,110,37.43,-105.43
Fort Lupton,Weld,,,CO,12,40.08,-104.81
Fort Lyon,Bent,,,CO,470,38.09,-103.15
Fountain,El Paso,,,CO,19,38.68,-104.71
Franktown,Douglas,,,CO,50,39.39,-104.75
Frosts Ranch,Douglas,,,CO,12,39.28,-104.69
